starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:15:25 2016	1475262925	0	814	814	813
Fri Sep 30 21:15:41 2016	1475262941	0	815	815	814
Fri Sep 30 21:15:13 2016	1475262913	0	815	815	815
Fri Sep 30 21:15:16 2016	1475262916	0	816	816	815
Fri Sep 30 21:15:16 2016	1475262916	0	816	816	815
Fri Sep 30 21:16:00 2016	1475262960	0	818	818	817
Fri Sep 30 21:15:47 2016	1475262947	0	818	818	817
Fri Sep 30 21:15:59 2016	1475262959	0	819	819	818
Fri Sep 30 21:15:33 2016	1475262933	0	819	819	819
Fri Sep 30 21:15:02 2016	1475262902	0	819	819	818
Fri Sep 30 21:15:56 2016	1475262956	0	819	819	819
Fri Sep 30 21:15:19 2016	1475262919	0	820	820	820
Fri Sep 30 21:15:22 2016	1475262922	0	820	820	818
Fri Sep 30 21:15:36 2016	1475262936	0	820	820	820
Fri Sep 30 21:15:57 2016	1475262957	0	821	821	819
Fri Sep 30 21:15:24 2016	1475262924	0	821	821	820
Fri Sep 30 21:15:50 2016	1475262950	0	821	821	821
Fri Sep 30 21:15:41 2016	1475262941	0	822	822	821
Fri Sep 30 21:15:19 2016	1475262919	0	823	823	823
Fri Sep 30 21:15:35 2016	1475262935	0	823	823	823
Fri Sep 30 21:15:51 2016	1475262951	0	824	824	824
Fri Sep 30 21:15:40 2016	1475262940	0	826	826	825
Fri Sep 30 21:15:02 2016	1475262902	0	826	826	826
Fri Sep 30 21:15:57 2016	1475262957	0	827	827	826
Fri Sep 30 21:15:00 2016	1475262900	0	828	828	828
Fri Sep 30 21:15:36 2016	1475262936	0	828	828	828
Fri Sep 30 21:15:43 2016	1475262943	0	829	829	828
Fri Sep 30 21:15:36 2016	1475262936	0	829	829	828
Fri Sep 30 21:15:04 2016	1475262904	0	829	829	829
Fri Sep 30 21:15:09 2016	1475262909	0	829	829	829
Fri Sep 30 21:15:54 2016	1475262954	0	829	830	829
Fri Sep 30 21:15:03 2016	1475262903	0	831	831	830
Fri Sep 30 21:15:46 2016	1475262946	0	831	831	831
Fri Sep 30 21:15:26 2016	1475262926	0	831	831	831
Fri Sep 30 21:15:49 2016	1475262949	0	831	831	831
Fri Sep 30 21:14:58 2016	1475262898	0	836	836	836
Fri Sep 30 21:15:47 2016	1475262947	0	837	837	837
Fri Sep 30 21:15:30 2016	1475262930	0	838	838	837
Fri Sep 30 21:15:18 2016	1475262918	0	838	838	837
Fri Sep 30 21:15:51 2016	1475262951	0	838	838	838
Fri Sep 30 21:15:45 2016	1475262945	0	839	839	838
Fri Sep 30 21:15:40 2016	1475262940	0	839	839	839
Fri Sep 30 21:15:11 2016	1475262911	0	839	839	839
Fri Sep 30 21:14:57 2016	1475262897	0	845	845	845
Fri Sep 30 21:15:38 2016	1475262938	0	846	846	846
Fri Sep 30 21:15:39 2016	1475262939	0	848	848	848
Fri Sep 30 21:15:42 2016	1475262942	0	851	851	850
Fri Sep 30 21:15:39 2016	1475262939	0	852	852	852
Fri Sep 30 21:15:45 2016	1475262945	0	852	852	852
Fri Sep 30 21:15:20 2016	1475262920	0	853	853	853
Fri Sep 30 21:14:53 2016	1475262893	0	853	853	851
Fri Sep 30 21:15:30 2016	1475262930	0	853	853	853
Fri Sep 30 21:15:49 2016	1475262949	0	857	857	857
Fri Sep 30 21:15:31 2016	1475262931	0	857	857	857
Fri Sep 30 21:15:01 2016	1475262901	0	858	858	858
Fri Sep 30 21:15:31 2016	1475262931	0	859	859	858
